[INFO] [1634231050.756918, 50.239000]: Number of targets 7 / distance to curent goal 3.84 / collission number 0
[INFO] [1634231051.035682, 50.441000]: Number of targets 7 / distance to curent goal 3.82 / collission number 0
[INFO] [1634231051.304334, 50.638000]: Number of targets 7 / distance to curent goal 3.79 / collission number 0
[INFO] [1634231051.568508, 50.842000]: Number of targets 7 / distance to curent goal 3.75 / collission number 0
[INFO] [1634231051.845969, 51.047000]: Number of targets 7 / distance to curent goal 3.73 / collission number 0
[INFO] [1634231052.101622, 51.242000]: Number of targets 7 / distance to curent goal 3.7 / collission number 0
[INFO] [1634231052.357750, 51.436000]: Number of targets 7 / distance to curent goal 3.69 / collission number 0
[INFO] [1634231052.623793, 51.640000]: Number of targets 7 / distance to curent goal 3.67 / collission number 0
[INFO] [1634231052.879413, 51.835000]: Number of targets 7 / distance to curent goal 3.63 / collission number 0
[INFO] [1634231053.140666, 52.041000]: Number of targets 7 / distance to curent goal 3.6 / collission number 0
[INFO] [1634231053.451925, 52.274000]: Number of targets 7 / distance to curent goal 3.56 / collission number 0
[INFO] [1634231053.669132, 52.440000]: Number of targets 7 / distance to curent goal 3.53 / collission number 0
[INFO] [1634231053.924256, 52.639000]: Number of targets 7 / distance to curent goal 3.49 / collission number 0
[INFO] [1634231054.187905, 52.836000]: Number of targets 7 / distance to curent goal 3.45 / collission number 0
[INFO] [1634231054.472464, 53.040000]: Number of targets 7 / distance to curent goal 3.41 / collission number 0
[INFO] [1634231054.725962, 53.239000]: Number of targets 7 / distance to curent goal 3.37 / collission number 0
[INFO] [1634231054.995692, 53.444000]: Number of targets 7 / distance to curent goal 3.33 / collission number 0
[INFO] [1634231055.254158, 53.641000]: Number of targets 7 / distance to curent goal 3.29 / collission number 0
[INFO] [1634231055.524495, 53.841000]: Number of targets 7 / distance to curent goal 3.25 / collission number 0
[INFO] [1634231055.789414, 54.038000]: Number of targets 7 / distance to curent goal 3.2 / collission number 0
[INFO] [1634231056.055006, 54.242000]: Number of targets 7 / distance to curent goal 3.16 / collission number 0
[INFO] [1634231056.326233, 54.447000]: Number of targets 7 / distance to curent goal 3.12 / collission number 0
[INFO] [1634231056.579771, 54.640000]: Number of targets 7 / distance to curent goal 3.09 / collission number 0
[INFO] [1634231056.837281, 54.839000]: Number of targets 7 / distance to curent goal 3.04 / collission number 0
[INFO] [1634231057.092219, 55.041000]: Number of targets 7 / distance to curent goal 3.0 / collission number 0
[INFO] [1634231057.353523, 55.236000]: Number of targets 7 / distance to curent goal 2.96 / collission number 0
[INFO] [1634231057.625740, 55.436000]: Number of targets 7 / distance to curent goal 2.91 / collission number 0
[INFO] [1634231057.898657, 55.637000]: Number of targets 7 / distance to curent goal 2.87 / collission number 0
[INFO] [1634231058.164618, 55.837000]: Number of targets 7 / distance to curent goal 2.82 / collission number 0
[INFO] [1634231058.455305, 56.057000]: Number of targets 7 / distance to curent goal 2.78 / collission number 0
[INFO] [1634231058.689101, 56.236000]: Number of targets 7 / distance to curent goal 2.74 / collission number 0
[INFO] [1634231058.955802, 56.437000]: Number of targets 7 / distance to curent goal 2.7 / collission number 0
[INFO] [1634231059.219922, 56.641000]: Number of targets 7 / distance to curent goal 2.65 / collission number 0
[INFO] [1634231059.491086, 56.846000]: Number of targets 7 / distance to curent goal 2.61 / collission number 0
[INFO] [1634231059.749566, 57.035000]: Number of targets 7 / distance to curent goal 2.57 / collission number 0
[INFO] [1634231060.006561, 57.236000]: Number of targets 7 / distance to curent goal 2.53 / collission number 0
[INFO] [1634231060.274603, 57.445000]: Number of targets 7 / distance to curent goal 2.48 / collission number 0
[INFO] [1634231060.536841, 57.637000]: Number of targets 7 / distance to curent goal 2.44 / collission number 0
[INFO] [1634231060.815397, 57.840000]: Number of targets 7 / distance to curent goal 2.39 / collission number 0
[INFO] [1634231061.076777, 58.040000]: Number of targets 7 / distance to curent goal 2.35 / collission number 0
[INFO] [1634231061.350070, 58.235000]: Number of targets 7 / distance to curent goal 2.31 / collission number 0
[INFO] [1634231061.619498, 58.440000]: Number of targets 7 / distance to curent goal 2.27 / collission number 0
[INFO] [1634231061.878786, 58.642000]: Number of targets 7 / distance to curent goal 2.23 / collission number 0
[INFO] [1634231062.147042, 58.840000]: Number of targets 7 / distance to curent goal 2.19 / collission number 0
[INFO] [1634231062.415792, 59.035000]: Number of targets 7 / distance to curent goal 2.14 / collission number 0
[INFO] [1634231062.690908, 59.236000]: Number of targets 7 / distance to curent goal 2.1 / collission number 0
[INFO] [1634231062.959811, 59.439000]: Number of targets 7 / distance to curent goal 2.06 / collission number 0
